cooperativity_n,leakiness_P_basal,ROC_AUC_discovery,ROC_AUC_validation,ROC_AUC_external
1,0.0,0.9836170355917377,0.84248039914469,0.8395061728395062
1,0.01,0.9836170355917377,0.84248039914469,0.8395061728395062
1,0.05,0.9836170355917377,0.84248039914469,0.8395061728395062
1,0.1,0.9836170355917377,0.84248039914469,0.8395061728395062
2,0.0,0.9839870820157437,0.8536469470182941,0.8587654320987654
2,0.01,0.9839870820157437,0.8536469470182941,0.8587654320987654
2,0.05,0.9839870820157437,0.8536469470182941,0.8587654320987654
2,0.1,0.9839870820157437,0.8536469470182941,0.8587654320987654
4,0.0,0.9844916907757518,0.8614872891423141,0.874567901234568
4,0.01,0.9844916907757518,0.8614872891423141,0.874567901234568
4,0.05,0.9844916907757518,0.8614872891423141,0.874567901234568
4,0.1,0.9844916907757518,0.8614872891423141,0.874567901234568
8,0.0,0.985063580703761,0.8586362556426704,0.8795061728395063
8,0.01,0.985063580703761,0.8586362556426704,0.8795061728395063
8,0.05,0.985063580703761,0.8586362556426704,0.8795061728395063
8,0.1,0.985063580703761,0.8586362556426704,0.8795061728395063
